date,weight
04-07,77.4
04-08,77.9
04-09,76.9
04-10,76.1
04-11,75.5
04-12,75.6
04-13,75.2
04-14,74.8
04-15,74.7
04-16,74.9
04-17,75.3
04-18,74.8
04-19,74.6
04-20,74.2
04-21,73.9
04-22,73.4
04-23,73.6
04-24,73.8
04-25,73.5
04-26,73.1
04-27,73.4
04-28,73.8
04-29,74.2
04-30,73.2
05-05,74.0
05-06,73.9
05-07,74.1
05-08,73.9
05-09,73.4
05-10,73.6
05-11,74.0
05-12,73.7
05-13,73.6
05-14,73.2
05-15,73.3
05-16,73.4
05-17,73.5
05-18,74.0
05-19,74.0
05-20,74.1
05-21,73.6
05-22,73.1
05-23,73.5
05-24,73.6
05-25,73.1
05-26,73.1
05-27,73.6
05-28,73.3
05-29,72.5
05-30,72.5
05-31,72.2
06-01,72.1
06-02,72.7
06-03,72.3
06-04,72.9
06-05,73.1
06-06,73.0
06-07,72.9
06-08,72.5
06-09,73.2
06-11,72.7
06-12,72.8
06-13,73.2
06-14,72.9
06-15,72.4
06-16,72.0
06-17,72.1
06-18,72.5
06-19,72.6
06-21,72.5
06-22,72.5
06-24,72.7
06-25,72.2
06-26,72.8
06-28,71.7
06-29,72.2
06-30,72.0
07-02,72.2
07-03,72.1
07-04,72.3
07-05,72.3
07-06,72.1
07-07,72.1
07-09,72.2
07-10,71.7
07-12,71.8
07-14,72.2
07-15,72.0
07-20,72.5
07-27,72.2
08-01,71.7
08-03,72.3
08-18,72.3
08-19,72.8
08-25,72.6
09-18,71.5
